# swgoh.gg /stats/mod-meta-report/ — grounded best-mods (all units), July 2026
# format: BASE_ID|sets(+)|Receiver/arrow|Holo-Array/triangle|Data-Bus/circle|Multiplexer/cross
# (square/Transmitter always Offense%, diamond/Processor always Defense%; not shown)
TRIPLEZERO|Speed+Potency|Speed|Offense|Health|Potency
4LOM|Speed+Tenacity|Speed|Health|Protection|Tenacity
50RT|CritChance+CritDamage|Speed|Critical Chance / Health|Health|Potency
ARCTROOPER501ST|Offense+CritChance|Speed|Offense / Critical Damage|Protection|Offense
AAYLASECURA|CritChance+CritChance+Potency|Speed|Critical Damage|Protection / Health|Protection / Offense
ADMIRALACKBAR|Health+Speed|Speed|Protection|Protection|Protection
ADMIRALPIETT|Health+Speed|Speed|Defense|Health|Defense
ADMIRALRADDUS|Health+Speed|Speed|Defense|Health|Defense
TRENCH|Health+Speed|Speed|Health|Health|Protection / Potency
GLAHSOKATANO|Health+Speed|Speed|Health|Health|Health
FULCRUMAHSOKA|CritChance+CritDamage|Speed|Critical Damage|Protection / Health|Offense / Protection
AHSOKATANO|Offense+CritChance|Speed|Critical Damage|Health|Health
AMILYNHOLDO|Health+Health+Health|Protection / Speed|Protection|Protection|Protection
ASAJVENTRESS|Offense+CritChance|Speed|Offense|Protection|Offense
ASAJJDARKDISCIPLE|Offense+CritChance|Speed / Health|Health|Health|Health
AURRA_SING|CritChance+CritDamage|Speed|Critical Damage / Offense|Protection|Potency
B1BATTLEDROIDV2|Offense+Potency|Speed|Offense|Protection|Offense
B2SUPERBATTLEDROID|Potency+Potency+Potency|Critical Avoidance|Protection|Protection|Potency
BB8|Speed+Tenacity|Speed|Critical Chance|Protection|Protection
BT1|Offense+CritChance|Speed|Offense|Health|Offense
BARRISSOFFEE|Health+Health+Health|Speed|Health|Health / Protection|Health
BASTILASHAN|Health+Speed|Speed|Protection|Protection|Protection
BASTILASHANDARK|Health+Speed|Speed|Protection|Protection|Protection
BATCHERS3|Speed+CritChance|Speed|Offense|Protection / Health|Offense
BAYLANSKOLL|Health+Speed|Speed|Protection|Protection|Protection
BAZEMALBUS|Health+Health+Health|Protection|Protection|Protection|Protection
BENSOLO|Offense+Potency|Speed|Offense|Health|Offense
BIGGSDARKLIGHTER|CritChance+CritDamage|Speed|Critical Damage|Protection|Protection / Offense
BISTAN|Potency+Potency+Potency|Speed|Critical Damage / Protection|Protection|Potency
MANDALORBOKATAN|Health+Offense|Speed|Offense|Health|Offense
BOKATAN|Health+CritDamage|Speed|Critical Damage|Health|Offense
BOBAFETT|CritChance+CritDamage|Speed|Critical Damage|Protection|Protection / Offense
BOBAFETTSCION|CritChance+CritDamage|Speed|Critical Chance / Critical Damage|Protection|Offense
BODHIROOK|Speed+Potency|Speed|Critical Chance / Protection|Protection|Potency
BOSSNASS|Health+Health+Potency|Speed|Protection|Protection|Protection / Potency
BOSSK|Defense+Speed|Speed|Protection|Protection|Protection
BOUSHH|Speed+Potency|Speed|Critical Damage|Protection|Potency
BRUTUS|Offense+CritChance|Speed|Offense|Health|Offense
C3POLEGENDARY|Speed+Potency|Speed|Protection|Health|Potency
APPO|Offense+CritChance|Speed|Critical Damage|Protection|Offense
CC2224|Speed+CritChance|Speed|Critical Damage / Critical Chance|Protection|Protection / Offense
CT210408|Offense+CritChance|Speed|Critical Chance / Critical Damage|Health|Tenacity
CT5555|Defense+Defense+Tenacity|Speed|Protection|Protection|Protection
CT7567|Health+Speed|Speed|Protection|Protection|Protection
OPERATIVE|Health+Speed|Speed|Health / Protection|Protection / Health|Protection / Health
CADBANE|CritChance+CritDamage|Speed|Critical Damage|Protection|Potency / Protection
CALKESTIS|Health+Health+Potency|Health|Health|Health|Health
CANDEROUSORDO|Offense+Tenacity|Speed|Critical Damage|Protection|Protection / Offense
CARSONTEVA|||||
CAPTAINDROGAN|Offense+CritChance|Speed|Critical Damage|Protection / Health|Offense
CAPTAINENOCH|Health+Speed|Speed|Offense|Health|Offense
HOTHHAN|Health+Speed|Speed|Protection|Protection|Protection
ITHANO|Offense+CritChance|Speed|Critical Damage|Protection|Offense
PHASMA|Speed+Potency|Speed|Critical Damage|Protection|Protection
